,model,method,ngram_range,min_df,max_df,max_feature,features_limit,train_acc,test_acc,f1_train,f1_test,gap_percent,comments
80,LinearSVC,countVectorizer,"(1, 3)",10,0.99,4666,5000,0.979,0.9202,0.9785,0.9188,5.97,"ngram=(1, 3), min_df=10, max_df=0.99"
81,LinearSVC,countVectorizer,"(1, 3)",20,0.9,2482,5000,0.9566,0.9183,0.9556,0.9169,3.87,"ngram=(1, 3), min_df=20, max_df=0.9"
82,LinearSVC,countVectorizer,"(1, 3)",20,0.95,2482,5000,0.9566,0.9183,0.9556,0.9169,3.87,"ngram=(1, 3), min_df=20, max_df=0.95"
83,LinearSVC,countVectorizer,"(1, 3)",20,0.99,2482,5000,0.9566,0.9183,0.9556,0.9169,3.87,"ngram=(1, 3), min_df=20, max_df=0.99"
84,LinearSVC,countVectorizer,"(2, 2)",1,0.9,5000,5000,0.881,0.8183,0.8861,0.83,5.61,"ngram=(2, 2), min_df=1, max_df=0.9"
85,LinearSVC,countVectorizer,"(2, 2)",1,0.95,5000,5000,0.881,0.8183,0.8861,0.83,5.61,"ngram=(2, 2), min_df=1, max_df=0.95"
86,LinearSVC,countVectorizer,"(2, 2)",1,0.99,5000,5000,0.881,0.8183,0.8861,0.83,5.61,"ngram=(2, 2), min_df=1, max_df=0.99"
87,LinearSVC,countVectorizer,"(2, 2)",5,0.9,4132,5000,0.8678,0.8134,0.8744,0.8262,4.81,"ngram=(2, 2), min_df=5, max_df=0.9"
88,LinearSVC,countVectorizer,"(2, 2)",5,0.95,4132,5000,0.8678,0.8134,0.8744,0.8262,4.81,"ngram=(2, 2), min_df=5, max_df=0.95"
89,LinearSVC,countVectorizer,"(2, 2)",5,0.99,4132,5000,0.8678,0.8134,0.8744,0.8262,4.81,"ngram=(2, 2), min_df=5, max_df=0.99"
90,LinearSVC,countVectorizer,"(2, 2)",10,0.9,1353,5000,0.7858,0.7598,0.8092,0.7897,1.95,"ngram=(2, 2), min_df=10, max_df=0.9"
