,model,ngram_range,min_df,max_df,features_rec,max_features,test_accuracy,train_f1,test_f1,gap_percent,comments
71,LinearSVC,"(2, 2)",20,0.99,469,10000,0.6911700102504027,0.7556273034631903,0.7456277891689784,1.0,"ngram=(2, 2), min_df=20, max_df=0.99"
72,MultinomialNB,"(1, 1)",1,0.9,10000,10000,0.9228291111436521,0.9405225545430483,0.92018779342723,2.03,"ngram=(1, 1), min_df=1, max_df=0.9"
73,MultinomialNB,"(1, 1)",1,0.95,10000,10000,0.9228291111436521,0.9405225545430483,0.92018779342723,2.03,"ngram=(1, 1), min_df=1, max_df=0.95"
74,MultinomialNB,"(1, 1)",1,0.99,10000,10000,0.9228291111436521,0.9405225545430483,0.92018779342723,2.03,"ngram=(1, 1), min_df=1, max_df=0.99"
75,MultinomialNB,"(1, 1)",10,0.9,3185,10000,0.9147752233123444,0.92699734948883,0.911978221415608,1.5,"ngram=(1, 1), min_df=10, max_df=0.9"
76,MultinomialNB,"(1, 1)",10,0.95,3185,10000,0.9147752233123444,0.92699734948883,0.911978221415608,1.5,"ngram=(1, 1), min_df=10, max_df=0.95"
77,MultinomialNB,"(1, 1)",10,0.99,3185,10000,0.9147752233123444,0.92699734948883,0.911978221415608,1.5,"ngram=(1, 1), min_df=10, max_df=0.99"
78,MultinomialNB,"(1, 1)",20,0.9,1987,10000,0.910235759261971,0.9186033286575426,0.9072476925404751,1.14,"ngram=(1, 1), min_df=20, max_df=0.9"
79,MultinomialNB,"(1, 1)",20,0.95,1987,10000,0.910235759261971,0.9186033286575426,0.9072476925404751,1.14,"ngram=(1, 1), min_df=20, max_df=0.95"
80,MultinomialNB,"(1, 1)",20,0.99,1987,10000,0.910235759261971,0.9186033286575426,0.9072476925404751,1.14,"ngram=(1, 1), min_df=20, max_df=0.99"
81,MultinomialNB,"(1, 2)",1,0.9,10000,10000,0.9256113633035583,0.940100525301387,0.9231234866828087,1.7,"ngram=(1, 2), min_df=1, max_df=0.9"
82,MultinomialNB,"(1, 2)",1,0.95,10000,10000,0.9256113633035583,0.940100525301387,0.9231234866828087,1.7,"ngram=(1, 2), min_df=1, max_df=0.95"
83,MultinomialNB,"(1, 2)",1,0.99,10000,10000,0.9256113633035583,0.940100525301387,0.9231234866828087,1.7,"ngram=(1, 2), min_df=1, max_df=0.99"
84,MultinomialNB,"(1, 2)",10,0.9,4538,10000,0.9185825157416898,0.9293097572980955,0.9158086008479709,1.35,"ngram=(1, 2), min_df=10, max_df=0.9"
85,MultinomialNB,"(1, 2)",10,0.95,4538,10000,0.9185825157416898,0.9293097572980955,0.9158086008479709,1.35,"ngram=(1, 2), min_df=10, max_df=0.95"
86,MultinomialNB,"(1, 2)",10,0.99,4538,10000,0.9185825157416898,0.9293097572980955,0.9158086008479709,1.35,"ngram=(1, 2), min_df=10, max_df=0.99"
87,MultinomialNB,"(1, 2)",20,0.9,2456,10000,0.9108214965587934,0.9190357061632931,0.9076012744651798,1.14,"ngram=(1, 2), min_df=20, max_df=0.9"
88,MultinomialNB,"(1, 2)",20,0.95,2456,10000,0.9108214965587934,0.9190357061632931,0.9076012744651798,1.14,"ngram=(1, 2), min_df=20, max_df=0.95"
89,MultinomialNB,"(1, 2)",20,0.99,2456,10000,0.9108214965587934,0.9190357061632931,0.9076012744651798,1.14,"ngram=(1, 2), min_df=20, max_df=0.99"
90,MultinomialNB,"(1, 3)",1,0.9,10000,10000,0.9247327573583248,0.9397198031048846,0.9221212121212121,1.76,"ngram=(1, 3), min_df=1, max_df=0.9"
91,MultinomialNB,"(1, 3)",1,0.95,10000,10000,0.9247327573583248,0.9397198031048846,0.9221212121212121,1.76,"ngram=(1, 3), min_df=1, max_df=0.95"
92,MultinomialNB,"(1, 3)",1,0.99,10000,10000,0.9247327573583248,0.9397198031048846,0.9221212121212121,1.76,"ngram=(1, 3), min_df=1, max_df=0.99"
93,MultinomialNB,"(1, 3)",10,0.9,4666,10000,0.9179967784448675,0.9294108726969444,0.9150743099787686,1.43,"ngram=(1, 3), min_df=10, max_df=0.9"
94,MultinomialNB,"(1, 3)",10,0.95,4666,10000,0.9179967784448675,0.9294108726969444,0.9150743099787686,1.43,"ngram=(1, 3), min_df=10, max_df=0.95"
95,MultinomialNB,"(1, 3)",10,0.99,4666,10000,0.9179967784448675,0.9294108726969444,0.9150743099787686,1.43,"ngram=(1, 3), min_df=10, max_df=0.99"
96,MultinomialNB,"(1, 3)",20,0.9,2482,10000,0.9115536681798213,0.9188000151704783,0.9082903127846949,1.05,"ngram=(1, 3), min_df=20, max_df=0.9"
97,MultinomialNB,"(1, 3)",20,0.95,2482,10000,0.9115536681798213,0.9188000151704783,0.9082903127846949,1.05,"ngram=(1, 3), min_df=20, max_df=0.95"
98,MultinomialNB,"(1, 3)",20,0.99,2482,10000,0.9115536681798213,0.9188000151704783,0.9082903127846949,1.05,"ngram=(1, 3), min_df=20, max_df=0.99"
99,MultinomialNB,"(2, 2)",1,0.9,10000,10000,0.8213501244691755,0.8652009949450373,0.7994080894442618,6.58,"ngram=(2, 2), min_df=1, max_df=0.9"
100,MultinomialNB,"(2, 2)",1,0.95,10000,10000,0.8213501244691755,0.8652009949450373,0.7994080894442618,6.58,"ngram=(2, 2), min_df=1, max_df=0.95"
101,MultinomialNB,"(2, 2)",1,0.99,10000,10000,0.8213501244691755,0.8652009949450373,0.7994080894442618,6.58,"ngram=(2, 2), min_df=1, max_df=0.99"
102,MultinomialNB,"(2, 2)",10,0.9,1353,10000,0.7387611656172207,0.6873200822481151,0.6733797143903332,1.39,"ngram=(2, 2), min_df=10, max_df=0.9"
103,MultinomialNB,"(2, 2)",10,0.95,1353,10000,0.7387611656172207,0.6873200822481151,0.6733797143903332,1.39,"ngram=(2, 2), min_df=10, max_df=0.95"
104,MultinomialNB,"(2, 2)",10,0.99,1353,10000,0.7387611656172207,0.6873200822481151,0.6733797143903332,1.39,"ngram=(2, 2), min_df=10, max_df=0.99"
105,MultinomialNB,"(2, 2)",20,0.9,469,10000,0.6800410016107775,0.5715282623866015,0.5641332535407939,0.74,"ngram=(2, 2), min_df=20, max_df=0.9"
106,MultinomialNB,"(2, 2)",20,0.95,469,10000,0.6800410016107775,0.5715282623866015,0.5641332535407939,0.74,"ngram=(2, 2), min_df=20, max_df=0.95"
107,MultinomialNB,"(2, 2)",20,0.99,469,10000,0.6800410016107775,0.5715282623866015,0.5641332535407939,0.74,"ngram=(2, 2), min_df=20, max_df=0.99"
108,RandomForestClassifier,"(1, 1)",1,0.9,10000,10000,0.8572265338995461,0.862964381463041,0.8500230733733272,1.29,"ngram=(1, 1), min_df=1, max_df=0.9"
109,RandomForestClassifier,"(1, 1)",1,0.95,10000,10000,0.8538585444428174,0.8602325581395349,0.844693432928727,1.55,"ngram=(1, 1), min_df=1, max_df=0.95"
110,RandomForestClassifier,"(1, 1)",1,0.99,10000,10000,0.8553228876848733,0.8607963487566886,0.8438685208596713,1.69,"ngram=(1, 1), min_df=1, max_df=0.99"
111,RandomForestClassifier,"(1, 1)",10,0.9,3185,10000,0.8504905549860887,0.8682120856033899,0.8544132325680879,1.38,"ngram=(1, 1), min_df=10, max_df=0.9"
112,RandomForestClassifier,"(1, 1)",10,0.95,3185,10000,0.8490262117440328,0.8673983768903507,0.8526090064331665,1.48,"ngram=(1, 1), min_df=10, max_df=0.95"
113,RandomForestClassifier,"(1, 1)",10,0.99,3185,10000,0.8474154341777713,0.8661629598098683,0.8522404991491775,1.39,"ngram=(1, 1), min_df=10, max_df=0.99"
114,RandomForestClassifier,"(1, 1)",20,0.9,1987,10000,0.837750768780202,0.8608716892905748,0.8456394538868766,1.52,"ngram=(1, 1), min_df=20, max_df=0.9"
115,RandomForestClassifier,"(1, 1)",20,0.95,1987,10000,0.8405330209401084,0.8610527789444211,0.8478837826512082,1.32,"ngram=(1, 1), min_df=20, max_df=0.95"
116,RandomForestClassifier,"(1, 1)",20,0.99,1987,10000,0.8409723239127251,0.8567128014978523,0.8403880070546738,1.63,"ngram=(1, 1), min_df=20, max_df=0.99"
117,RandomForestClassifier,"(1, 2)",1,0.9,10000,10000,0.8499048176892664,0.85985304979979,0.8402680380239987,1.96,"ngram=(1, 2), min_df=1, max_df=0.9"
118,RandomForestClassifier,"(1, 2)",1,0.95,10000,10000,0.8535656757944062,0.8613564789922421,0.8457742134484886,1.56,"ngram=(1, 2), min_df=1, max_df=0.95"
119,RandomForestClassifier,"(1, 2)",1,0.99,10000,10000,0.8510762922829112,0.8541485406944554,0.8386994448850119,1.54,"ngram=(1, 2), min_df=1, max_df=0.99"
120,RandomForestClassifier,"(1, 2)",10,0.9,4538,10000,0.8409723239127251,0.8491543501447508,0.8341984732824428,1.5,"ngram=(1, 2), min_df=10, max_df=0.9"
121,RandomForestClassifier,"(1, 2)",10,0.95,4538,10000,0.8441938790452482,0.8524181674028769,0.8389830508474576,1.34,"ngram=(1, 2), min_df=10, max_df=0.95"
